id,agent,time,score
1,2,19,-1000
2,2,17,-500
3,2,0,-1000
4,2,0,-1000
5,2,85,600
6,3,69,0
7,3,34,-300
8,3,56,-200
9,3,49,-100
10,3,55,200
11,3,40,100
12,3,124,2100
13,3,58,1100
14,3,23,-500
15,3,37,-800
16,3,36,-300
17,3,67,0
18,3,131,1700
19,3,38,-300
20,3,71,-200
21,3,76,-400
22,3,20,-500
23,3,140,2900
24,3,41,-300
25,0,12,-500
26,0,18,-300
27,0,18,-600
28,4,2,-1000
29,4,7,-1000
30,4,5,-1000
31,4,14,-500
32,4,20,-800
33,4,16,-1000
34,4,19,-100
35,4,36,700
36,4,35,1300
37,4,25,-100
38,4,34,300
39,4,21,-300
40,4,34,0
41,4,12,-500
42,4,22,-100
43,4,24,-600
44,4,44,2100
45,4,47,1200
46,4,13,-500
47,4,2,-500
48,4,21,-800
49,4,2,-1000
50,4,36,1300
51,4,33,200
52,4,17,-1000
53,4,15,-1000
54,4,3,-1000
55,4,18,-300
56,4,18,-1000
57,4,29,0
58,4,16,-300
59,4,21,-600
60,4,45,-200
61,4,22,100
62,4,12,-500
63,4,23,-100
64,4,39,700
65,4,18,-400
66,4,17,-500
67,4,18,-1000
68,4,70,3300
69,4,16,-500
70,4,23,-1000
71,4,18,-500
72,4,16,-500
73,4,16,-500
74,4,12,-1000
75,4,14,-1000
76,4,12,-1000
77,4,16,-1000
78,4,60,2900
79,4,25,-600
80,4,26,-800
81,4,11,-1000
82,4,13,-1000
83,4,16,-300
84,4,20,-300
85,4,22,-800
86,4,17,-500
87,4,10,-1000
88,4,18,-500
89,4,11,-500
90,4,15,-1000
91,4,28,100
92,4,23,-600
93,4,25,100
94,4,19,-600
95,4,4,-500
96,4,15,-500
97,4,19,-500
98,4,10,-1000
99,4,22,-500
100,4,43,1500
101,4,16,-1000
102,4,14,-500
103,4,23,300
104,4,16,-1000
105,4,30,300
106,4,24,-100
107,4,18,-300
108,4,9,-500
109,4,75,3200
110,4,23,-400
111,4,10,-500
112,4,30,-400
113,4,26,200
114,4,21,-800
115,4,11,-500
116,4,28,300
117,4,13,-500
118,4,32,100
119,4,18,-800
120,4,21,-300
121,4,25,100
122,4,12,-1000
123,4,18,-300
124,4,20,-300
125,4,15,-300
126,4,15,-1000
127,4,13,-1000
128,4,24,100
129,4,19,-500
130,4,19,-400
131,4,4,-1000
132,4,22,-400
133,4,24,-400
134,4,29,-200
135,4,8,-500
136,4,26,100
137,4,29,700
138,4,9,-1000
139,4,28,-200
140,4,13,-500
141,4,12,-500
142,4,19,-500
143,4,40,1300
144,4,18,-800
145,4,7,-500
146,4,5,-500
147,4,39,200
148,4,55,2100
149,3,26,-100
150,5,35,1100
151,5,12,-1000
152,5,4,-1000
153,5,29,100
154,5,47,1300
155,5,25,-100
156,5,15,-500
157,5,16,-500
158,5,19,-800
159,5,19,-500
160,5,13,-500
161,5,28,-600
